Driver,DriverNumber,RaceName,LapNumber,Sector1Time,Sector2Time,Sector3Time,LapTime,Position,Stint,Compound,TyreLife,SpeedST,IsPersonalBest,Team,Sector1Seconds,Sector2Seconds,Sector3Seconds,LapTimeSeconds
VER,1,Abu Dhabi,1,,0:38.489,0:32.363,1:31.677,1,1,MEDIUM,1,307,False,Red Bull Racing,,38.489,32.363,91.677
VER,1,Abu Dhabi,2,0:18.085,0:38.383,0:32.649,1:29.117,1,1,MEDIUM,2,303,True,Red Bull Racing,18.085,38.383,32.649,89.117
VER,1,Abu Dhabi,3,0:18.197,0:38.495,0:32.863,1:29.555,1,1,MEDIUM,3,304,False,Red Bull Racing,18.197,38.495,32.863,89.555
VER,1,Abu Dhabi,4,0:18.253,0:38.441,0:32.869,1:29.563,1,1,MEDIUM,4,306,False,Red Bull Racing,18.253,38.441,32.869,89.563
VER,1,Abu Dhabi,5,0:18.142,0:38.529,0:33.024,1:29.695,1,1,MEDIUM,5,305,False,Red Bull Racing,18.142,38.529,33.024,89.695
VER,1,Abu Dhabi,6,0:18.250,0:38.579,0:32.943,1:29.772,1,1,MEDIUM,6,306,False,Red Bull Racing,18.25,38.579,32.943,89.772
VER,1,Abu Dhabi,7,0:18.187,0:38.496,0:33.061,1:29.744,1,1,MEDIUM,7,308,False,Red Bull Racing,18.187,38.496,33.061,89.744
VER,1,Abu Dhabi,8,0:18.136,0:38.420,0:33.045,1:29.601,1,1,MEDIUM,8,306,False,Red Bull Racing,18.136,38.42,33.045,89.601
VER,1,Abu Dhabi,9,0:18.146,0:38.494,0:32.773,1:29.413,1,1,MEDIUM,9,306,False,Red Bull Racing,18.146,38.494,32.773,89.413
VER,1,Abu Dhabi,10,0:18.120,0:38.396,0:32.949,1:29.465,1,1,MEDIUM,10,307,False,Red Bull Racing,18.12,38.396,32.949,89.465
VER,1,Abu Dhabi,11,0:18.143,0:38.496,0:32.899,1:29.538,1,1,MEDIUM,11,306,False,Red Bull Racing,18.143,38.496,32.899,89.538
VER,1,Abu Dhabi,12,0:18.120,0:38.567,0:32.856,1:29.543,1,1,MEDIUM,12,306,False,Red Bull Racing,18.12,38.567,32.856,89.543
VER,1,Abu Dhabi,13,0:18.044,0:38.531,0:33.058,1:29.633,1,1,MEDIUM,13,307,False,Red Bull Racing,18.044,38.531,33.058,89.633
VER,1,Abu Dhabi,14,0:17.984,0:38.599,0:32.943,1:29.526,1,1,MEDIUM,14,305,False,Red Bull Racing,17.984,38.599,32.943,89.526
VER,1,Abu Dhabi,15,0:17.993,0:38.622,0:33.088,1:29.703,1,1,MEDIUM,15,302,False,Red Bull Racing,17.993,38.622,33.088,89.703
VER,1,Abu Dhabi,16,0:18.045,0:38.597,0:32.818,1:29.460,1,1,MEDIUM,16,303,False,Red Bull Racing,18.045,38.597,32.818,89.46
VER,1,Abu Dhabi,17,0:18.012,0:38.682,0:32.884,1:29.578,1,1,MEDIUM,17,298,False,Red Bull Racing,18.012,38.682,32.884,89.578
VER,1,Abu Dhabi,18,0:18.064,0:38.646,0:32.886,1:29.596,1,1,MEDIUM,18,304,False,Red Bull Racing,18.064,38.646,32.886,89.596
VER,1,Abu Dhabi,19,0:17.981,0:38.709,0:32.924,1:29.614,1,1,MEDIUM,19,303,False,Red Bull Racing,17.981,38.709,32.924,89.614
VER,1,Abu Dhabi,20,0:18.010,0:38.667,0:32.880,1:29.557,1,1,MEDIUM,20,302,False,Red Bull Racing,18.01,38.667,32.88,89.557
VER,1,Abu Dhabi,21,0:17.873,0:38.788,0:32.780,1:29.441,1,1,MEDIUM,21,302,False,Red Bull Racing,17.873,38.788,32.78,89.441
VER,1,Abu Dhabi,22,0:17.869,0:38.589,0:32.785,1:29.243,1,1,MEDIUM,22,299,False,Red Bull Racing,17.869,38.589,32.785,89.243
VER,1,Abu Dhabi,23,0:17.903,0:38.590,0:34.872,1:31.365,1,1,MEDIUM,23,300,False,Red Bull Racing,17.903,38.59,34.872,91.365
VER,1,Abu Dhabi,24,0:38.129,0:38.518,0:32.276,1:48.923,2,2,HARD,1,297,False,Red Bull Racing,38.129,38.518,32.276,108.923
