RaceName,Driver,DriverNumber,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,Position,SpeedST,IsPersonalBest
Australia,VER,1,Red Bull Racing,1.0,0 days 00:01:59.392000,,0 days 00:00:20.705000,0 days 00:00:55.250000,INTERMEDIATE,1.0,1.0,2.0,215.0,False
Australia,VER,1,Red Bull Racing,2.0,,0 days 00:00:58.141000,0 days 00:00:37.976000,0 days 00:01:13.205000,INTERMEDIATE,2.0,1.0,2.0,210.0,False
Australia,VER,1,Red Bull Racing,3.0,,0 days 00:00:56.230000,0 days 00:00:33.683000,0 days 00:01:12.232000,INTERMEDIATE,3.0,2.0,2.0,180.0,False
Australia,VER,1,Red Bull Racing,4.0,,0 days 00:00:54.351000,0 days 00:00:32.712000,0 days 00:01:08.712000,INTERMEDIATE,4.0,3.0,2.0,187.0,False
Australia,VER,1,Red Bull Racing,5.0,0 days 00:02:23.609000,0 days 00:00:53.513000,0 days 00:00:32.627000,0 days 00:00:57.469000,INTERMEDIATE,5.0,4.0,2.0,194.0,False
Australia,VER,1,Red Bull Racing,6.0,0 days 00:02:19.654000,0 days 00:00:47.887000,0 days 00:00:33.228000,0 days 00:00:58.539000,INTERMEDIATE,6.0,4.0,2.0,127.0,True
Australia,VER,1,Red Bull Racing,7.0,0 days 00:02:16.447000,0 days 00:00:45.898000,0 days 00:00:29.735000,0 days 00:01:00.814000,INTERMEDIATE,7.0,4.0,2.0,208.0,True
Australia,VER,1,Red Bull Racing,8.0,0 days 00:01:36.830000,0 days 00:00:35.249000,0 days 00:00:20.145000,0 days 00:00:41.436000,INTERMEDIATE,8.0,4.0,2.0,245.0,True
Australia,VER,1,Red Bull Racing,9.0,0 days 00:01:34.315000,0 days 00:00:33.850000,0 days 00:00:19.608000,0 days 00:00:40.857000,INTERMEDIATE,9.0,4.0,2.0,258.0,True
Australia,VER,1,Red Bull Racing,10.0,0 days 00:01:32.650000,0 days 00:00:33.117000,0 days 00:00:19.414000,0 days 00:00:40.119000,INTERMEDIATE,10.0,4.0,2.0,263.0,True
Australia,VER,1,Red Bull Racing,11.0,0 days 00:01:32.453000,0 days 00:00:33.017000,0 days 00:00:19.392000,0 days 00:00:40.044000,INTERMEDIATE,11.0,4.0,2.0,272.0,True
Australia,VER,1,Red Bull Racing,12.0,0 days 00:01:31.591000,0 days 00:00:32.767000,0 days 00:00:19.302000,0 days 00:00:39.522000,INTERMEDIATE,12.0,4.0,2.0,274.0,True
